date,non_nan_count
1987-12,3355
1988-01,3369
1988-02,3364
1988-03,3361
1988-04,3375
1988-05,3385
1988-06,3404
1988-07,3441
1988-08,3469
1988-09,3521
1988-10,3546
1988-11,3568
1988-12,3596
1989-01,3661
1989-02,3673
1989-03,3690
1989-04,3693
1989-05,3681
1989-06,3696
1989-07,3698
1989-08,3690
1989-09,3696
1989-10,3682
1989-11,3669
1989-12,3657
1990-01,3655
1990-02,3660
1990-03,3660
1990-04,3656
1990-05,3640
1990-06,3650
1990-07,3660
1990-08,3670
1990-09,3681
1990-10,3692
1990-11,3719
1990-12,3732
1991-01,3759
1991-02,3766
1991-03,3769
1991-04,3789
1991-05,3815
1991-06,3854
1991-07,3914
1991-08,3950
1991-09,3978
1991-10,4012
1991-11,4051
1991-12,4095
1992-01,4141
1992-02,4165
1992-03,4185
1992-04,4208
1992-05,4207
1992-06,4226
1992-07,4259
1992-08,4300
1992-09,4320
1992-10,4361
1992-11,4369
1992-12,4350
1993-01,4347
1993-02,4331
1993-03,4332
1993-04,4335
1993-05,4347
1993-06,4346
1993-07,4363
1993-08,4372
1993-09,4379
1993-10,4390
1993-11,4406
1993-12,4411
1994-01,4413
1994-02,4417
1994-03,4415
1994-04,4407
1994-05,4407
1994-06,4417
1994-07,4412
1994-08,4419
1994-09,4409
1994-10,4411
1994-11,4394
1994-12,4407
1995-01,4414
1995-02,4410
1995-03,4419
1995-04,4424
1995-05,4440
1995-06,4435
1995-07,4446
1995-08,4455
1995-09,4447
1995-10,4426
1995-11,4412
1995-12,4388
1996-01,4376
1996-02,4359
1996-03,4352
1996-04,4354
1996-05,4368
1996-06,4371
1996-07,4394
1996-08,4415
1996-09,4420
1996-10,4432
1996-11,4450
1996-12,4464
1997-01,4475
1997-02,4488
1997-03,4507
1997-04,4563
1997-05,4565
1997-06,4568
1997-07,4584
1997-08,4601
1997-09,4594
1997-10,4602
1997-11,4601
1997-12,4601
1998-01,4613
1998-02,4597
1998-03,4605
1998-04,4640
1998-05,4640
1998-06,4666
1998-07,4702
1998-08,4719
1998-09,4713
1998-10,4737
1998-11,4731
1998-12,4765
1999-01,4814
1999-02,4807
1999-03,4816
1999-04,4847
1999-05,4835
1999-06,4838
1999-07,4835
1999-08,4812
1999-09,4807
1999-10,4781
1999-11,4791
1999-12,4798
2000-01,4796
2000-02,4761
2000-03,4762
2000-04,4758
2000-05,4745
2000-06,4738
2000-07,4745
2000-08,4734
2000-09,4714
2000-10,4683
2000-11,4681
2000-12,4679
2001-01,4698
2001-02,4688
2001-03,4677
2001-04,4674
2001-05,4679
2001-06,4708
2001-07,4713
2001-08,4722
2001-09,4728
2001-10,4727
2001-11,4752
2001-12,4775
2002-01,4785
2002-02,4790
2002-03,4778
2002-04,4773
2002-05,4772
2002-06,4773
2002-07,4772
2002-08,4785
2002-09,4770
2002-10,4771
2002-11,4798
2002-12,4793
2003-01,4797
2003-02,4780
2003-03,4775
2003-04,4785
2003-05,4804
2003-06,4804
2003-07,4822
