date,Bottom_stocks
2024-11,"19584,17948,22223,20412,19978,85757,18203,18568,16310,19644,19549,14273,18915,91068,19542,14720,21551,85526,25452,88518,21720,20331,20663,86581,17315,14934,93434,21761,19356,22258,77699,19893,15046,89244,18940,20181,21835,20187,17313"
2024-10,"19584,17948,18648,20638,20290,20412,19193,21913,88174,16670,19644,17109,12350,18203,19549,91068,19542,14273,19980,21712,85757,18915,20331,86581,18568,19935,21551,19331,21732,21720,89244,19352,21761,21562,17315,88518,18775,20187,17262"
2024-09,"20620,20638,20290,16681,88174,19193,16670,91068,19980,18915,19944,18203,19649,18940,21790,13707,21562,15358,88518,14273,19935,20280,21732,19814,20187,20776,19893,21025,17301,82779,84788,19682,19192,18419,19470,16393,18775,19356,19623"
2024-08,"88174,20620,20552,16681,19193,19944,18915,88518,19657,18203,21286,19814,18940,91742,20280,91068,14273,15639,14245,20285,19649,18845,12360,15358,21025,19893,19682,21686,20187,19137,15046,18395,18783,83916,13707,84788,14239,19470"
2024-07,"88174,15914,21263,16964,20552,19193,21288,20422,88518,25452,13947,17907,20285,18940,21286,19803,18915,19850,19657,18203,18845,20280,14991,19919,20841,19893,21110,21309,15358,17038,15431,14245,90081,89244,14273,21526,15639,18719"
2024-06,"92986,25452,20422,21288,18302,21263,15914,19193,19623,15489,16964,19464,18940,19803,88518,82779,91571,14444,13700,16802,18203,13279,17038,20787,17907,19850,14239,89244,19555,20841,89301,14991,14245,19682,20280,19653,15087,20455"
2024-05,"17979,20425,17948,17134,18302,92986,82779,19464,19623,18395,16778,20455,19193,14444,88518,19653,13700,20187,18830,91571,18203,18940,18206,20787,80539,76963,90081,19682,19808,15639,19463,15775,84788,92252,15186,16802,16188,12699"
2024-04,"77624,17134,18558,17979,17948,18780,20425,19778,16778,82779,20578,91571,19197,80539,19850,18648,20187,19193,18830,19623,14610,88518,18940,20112,14523,19137,15775,12699,19025,15065,16188,18206,20816,19463,18203,20280,20641,76461"
2024-03,"16146,18780,77624,17948,20194,18558,82779,91571,19778,15639,19193,19197,18203,18458,91488,13947,19025,20112,20187,20280,18151,90907,18648,17360,18840,20578,29744,19623,15065,19850,17907,17038,14610,18783,19400,14419,16712,19463"
2024-02,"14720,88807,15065,91488,17948,82779,91571,18203,18840,18648,16310,10253,18458,15639,13947,20187,19193,17038,19814,16400,88195,86444,14245,18940,19939,19657,18151,20294,19850,16712,19463,19623,84788,57913,19395,20163,18206"
2024-01,"20334,19352,12350,88807,15065,17948,18203,15639,10253,91571,19391,15833,14245,20310,20187,17967,19401,18648,19193,19682,18940,19994,19846,90098,19850,19476,16188,20337,19395,18783,19812,15431,19499,86444,84788,88174,19681"
2023-12,"19008,18203,17948,19391,19476,18648,19986,91571,12350,19850,17366,13954,14245,19251,17967,15639,19681,18783,19193,11636,15269,19077,19993,18940,17966,84788,19682,15358,13411,19953,15833,19657,19980,19994,88174,16792,82779"
2023-11,"19008,18203,19978,19778,17948,19077,19193,13954,19179,17366,91571,84788,19657,18940,19850,14245,92775,19499,19986,18783,16894,14937,17349,13947,19994,15358,13707,16541,11636,16536,19463,18936,17106,16792,88174,19953"
2023-10,"16670,19487,17948,18203,19179,19193,84788,91571,19657,16536,19140,19499,17907,16792,16541,92775,14535,14245,18644,18940,15358,19463,18413,18936,13947,16894,82779,13455,88174,16005,17106,17301,15848,13159,17349,19024"
2023-09,"17901,19314,19649,18648,19487,19140,84788,14535,18203,17948,91571,15358,16792,17907,13947,19463,14556,19193,19024,18644,16005,92775,88174,90319,14542,82779,17871,19398,19575,91822,19499,19397,17106,16594,15087,19540"
2023-08,"19314,17901,18781,15631,15904,13954,18648,15364,84788,17907,19391,16820,18644,82779,19397,13947,84184,17871,17948,18461,15358,92775,91571,17358,19024,11636,19463,12339,14556,18836,88507,90319,14542,14531,19025,17301"
2023-07,"17907,16670,13954,15631,18781,18648,18644,12497,19338,84788,19176,84184,19249,15914,19398,19135,19391,13947,16820,14790,15358,80812,15904,19463,17871,92775,19024,17358,77569,17678,16626,88507,17948,16681,18461,17315,18678"
2023-06,"16524,17907,13954,18648,19176,18644,14790,88507,84788,18664,19024,19391,12497,16626,15015,19338,19249,16987,15358,14540,17948,77569,18203,13947,18427,16655,90319,14542,19398,16820,16778,18784,84302,92775,19196,17315"
2023-05,"18644,18648,13954,84788,18664,16987,88507,88807,16524,19176,19024,13947,14790,17948,14531,17315,15358,90319,14542,17871,16818,16626,18559,89935,84302,19025,18568,17105,18377,14540,17301,17678,11636,19331,92775,18784"
2023-04,"18648,18644,18664,17147,84788,13707,19176,90319,14542,19251,15382,12497,17105,15358,19077,18568,19024,17678,13947,16940,16818,17301,18457,12339,17948,18203,89935,18133,18997,18719,15015,17315,14136,14316,18963,19234"
2023-03,"18997,18648,15287,18664,13707,84788,15382,17147,90319,14542,19024,13947,17266,17315,17358,19234,15358,17678,17041,19176,15015,17948,16655,13954,18203,79122,76711,18784,12339,15002,92775,11636,17301,16533,14133,18133"
2023-02,"18997,18644,15287,18897,17266,17871,18664,18303,14468,84788,19179,19176,19180,16655,90319,14542,79122,14133,92775,17315,12497,15358,81761,76711,19024,17358,15015,18103,18784,13947,15417,17041,19025,16472,17301,17134"
2023-01,"18897,18664,13712,16670,18303,16626,16788,18644,65752,16179,84788,79122,17361,19113,12497,17315,76711,17358,90319,14542,92775,18784,16393,16655,17948,13947,14444,17678,18936,18458,17301,17326,18203,15358,12745,16472"
2022-12,"13712,19066,65752,16788,18054,16179,17361,18664,84788,79122,16626,17948,15277,14444,92775,17146,90319,76711,14542,17678,17134,13947,18458,17832,19080,17358,18131,18784,18185,12497,15358,19008,15365,89244,92252"
2022-11,"17147,19011,15177,17271,14879,76711,18644,18054,16824,19004,17825,84788,18784,92252,92775,79122,17134,90319,14542,13947,17678,18089,15358,76963,17948,16962,12497,17832,18899,18402,14431,12573,14935,18664,17146"
2022-10,"15177,16778,17147,14879,93126,15510,17948,17271,13947,16005,76711,84788,17044,17825,16111,79122,17105,16824,16066,18185,84184,90319,14542,18784,18402,92775,15358,90298,12745,16962,18089,76963,17358,18664,12573"
2022-09,"18556,17816,17948,13947,93126,16778,76711,90298,65752,15510,18215,84184,16111,17044,84788,18303,79122,15358,16739,15058,90319,14542,18648,17105,18185,15857,17678,17358,14185,12745,15135,17908,18664,16066,17832"
2022-08,"18556,18365,17816,13947,65752,84184,84788,76711,18303,18648,17977,17678,88240,16739,79122,87656,15058,16929,16626,18129,18103,17892,14790,17948,18773,15358,12745,14185,18784,18644,18215,18185,18058,17358,16066"
2022-07,"18365,13947,84184,87656,18303,15857,16929,16626,18648,15833,17948,88240,14822,79122,18129,17358,14790,17892,17105,91488,18562,17977,18678,80539,17678,83651,12339,18660,18784,18058,13712,18148,13954,14185,15896"
2022-06,"13947,18303,17115,18372,17318,91184,13863,16670,85744,76711,18211,17358,15857,14107,16626,16940,17948,18678,17892,14822,12339,18148,14790,90101,17967,14185,13954,91488,12497,15896,17977,80539,83651,17366,12751"
2022-05,"91457,13947,17115,18372,17318,15857,91184,12339,16998,86536,17105,13863,13621,85744,18211,14107,13954,16940,17678,18303,90101,18131,18461,12751,12497,65752,16401,17967,17358,17948,16670,16626,16681,17977,12745"
2022-04,"91457,18292,17366,13947,17251,65752,13621,17345,86536,15857,17115,12339,12497,16998,17678,17105,16401,76711,17977,13954,18303,17147,16681,17870,17358,92102,93347,17948,18419,16626,12745,18468,90101,79122,16711"
2022-03,"91457,18292,17366,65752,17251,13947,15857,17678,17977,16401,16400,12339,76711,12497,13621,13954,17115,14431,17967,17109,16824,15382,18129,17361,17271,17871,18303,16818,17825,17358,16120,18259,13279,17326,92102"
2022-02,"16400,91457,17251,13947,16401,15857,17977,17678,76711,18303,12497,13954,13621,16739,18048,18129,12339,14431,17967,77236,17115,17361,12745,18259,16120,16818,90101,14556,92102,16975,17326,17358,16929,16681,79122"
2022-01,"91457,17251,17271,15857,12497,13947,16401,14611,17908,18303,18259,17825,17115,90101,18129,17977,13621,76711,77236,17147,17109,18048,14431,16975,17361,16929,14676,13954,17968,12339,17870,17898,16400,12745,17358"
2021-12,"91457,17271,17908,15857,17977,12497,16929,18259,14611,90101,16401,17870,65752,17115,12339,76711,18217,14431,17968,13954,16975,77236,17825,15896,13947,18129,13712,15002,85686,17871,16681,17109,18048,13621,17266"
2021-11,"91457,17251,17271,16400,17115,15857,17908,16401,17977,16929,65752,12497,90101,16962,18048,13947,12339,17968,14618,18129,77236,14431,16975,13712,17871,85686,16472,13621,15896,15856,76711,15056,14459,17266,17870"
2021-10,"91457,17271,17251,17115,17977,17968,12497,16400,16929,16401,18054,13947,15857,17871,16962,77236,90101,14822,14431,12745,17908,13621,13712,15856,17266,88897,18089,85686,15896,15787,16737,15065,14185,17825,12009"
2021-09,"91457,17877,17271,17115,87656,16929,12497,17251,18054,15857,90101,17908,16401,16940,14431,15856,17968,13947,12009,77236,83651,88897,12745,16962,13621,13730,14822,17870,17955,17113,14540,14145,14185,16737"
2021-08,"12497,17877,17271,91457,17115,17251,87656,16401,16929,16400,16992,90101,14431,93126,15857,16737,17113,85686,77236,17041,16940,16689,13621,12745,12009,13947,14556,16962,83651,14185,15856,16542,14145,17908"
2021-07,"17251,17115,12497,17877,87656,17271,91457,16401,16992,16940,16400,17113,16689,77236,14431,12009,90101,16929,17908,17041,16877,14137,13621,15896,15857,14879,16542,14145,92102,14556,16737,80774,89570,12745"
2021-06,"17251,16689,85686,17115,87656,16401,12497,17816,16940,16877,15857,14431,17113,77236,89570,16400,91457,16992,14137,14145,88897,16929,15896,14618,13947,16962,14556,12009,16542,13621,14879,90101,16737"
2021-05,"17251,16689,16877,17115,12497,87656,85686,15857,15268,14137,12009,15896,77236,13621,17113,89570,91457,16400,12745,16401,88897,14618,16940,16992,91184,13947,14431,81133,79362,16442,16090,16929,13820"
2021-04,"12497,16689,15896,16877,15382,17251,17115,13621,17113,14137,87656,17357,12009,16401,16400,89570,77236,13947,90101,16776,81133,16962,16992,13820,17266,17120,79362,14431,14618,16737,16940,80539"
2021-03,"17266,14137,15896,16689,17251,12497,16877,17120,15862,16021,89570,13820,16442,90101,87656,16962,14618,16401,14556,77236,14431,79362,16737,34367,12009,13621,16660,16975,81133,87589,93067,15857"
2021-02,"17266,14137,16689,15172,17120,16021,16442,15896,89570,16877,14556,90101,17251,87656,14618,17103,16776,77236,15002,15862,13820,87589,16400,16962,12497,12745,34367,13621,90672,66683,88897"
2021-01,"16689,14137,16877,16021,16442,85419,16400,16675,15862,77236,15896,90101,14556,15002,16401,87656,16776,16975,13820,87589,13621,89570,14934,66683,16448,12497,82848,17039,15775,12009,34367"
2020-12,"85419,16021,13337,16877,15862,16689,16442,16675,12500,87656,15002,79237,14490,16400,77236,13820,52396,78170,13621,16401,90101,34673,15896,90672,82848,16448,66683,16975,12009,34367"
2020-11,"16877,16675,15642,16021,13337,13279,15862,16442,87656,77236,15896,13820,89570,15002,16689,78170,79237,13621,52396,16931,16401,14490,16537,16660,16448,15664,13812,14708,15775"
2020-10,"16877,15642,15002,16931,90672,15896,16448,77236,16401,14937,13621,16689,52396,15775,16776,89570,14708,16962,13820,14611,15787,14490,16660,15664,66683,87589,15293,16937,14676"
2020-09,"16776,16448,15775,90672,15896,15002,16401,52396,77236,14185,14490,16689,89570,13621,16497,16535,14611,81084,16660,13820,88173,16108,14676,90907,14505,14686,14179,34367"
2020-08,"15775,89570,16673,16448,90672,14611,16401,16442,52396,16776,16535,15002,14490,16689,16086,46834,15896,13621,14145,86165,79198,77236,88173,16400,14179,81084,14185,16660"
2020-07,"15775,52396,16401,90672,16673,16737,14708,13124,16442,16086,16535,14072,14137,16448,88471,14490,16786,16681,16660,79198,14185,49488,81084,14308,86165,90783,89449,88173"
2020-06,"15493,16401,15775,14708,14137,16400,16463,52396,16681,16442,16471,15396,14490,90672,90783,13124,15784,16535,80812,89413,16448,89449,15943,14682,14676,81084,16660"
2020-05,"16021,16442,14179,15775,29102,16401,16448,78170,14137,52396,89570,16463,14556,14505,80343,14308,68866,89449,16400,88897,89413,15784,13738,90672,90098,13700,14379"
2020-04,"15775,14179,16252,13124,14556,50017,24328,14308,52396,16448,81728,89570,90672,15664,16021,29102,16535,90098,89413,93069,84275,14185,16541,14145,89301,84387"
2020-03,"15775,16532,24328,50017,16252,16471,14308,15664,81728,52396,16541,12009,89301,14611,89570,84275,83145,82567,60186,75714,93069,15896,88173,84387,18075,91366"
2020-02,"85686,16532,15775,89449,14179,16400,15664,16401,14556,91366,14661,14308,75714,14611,90672,60186,85540,16471,92102,50017,78002,16541,83145,52396,82567,16108,16542"
2020-01,"85686,16255,14611,13337,15775,14179,16108,15664,89449,85540,50017,16401,52396,91366,14556,29102,16181,92102,90672,14308,24328,16448,16471,78002,14137,75714,13124"
2019-12,"16255,92594,85686,14611,13337,15775,16108,15057,92102,15961,15664,16090,16179,16401,14179,52396,77699,89449,83520,83145,16181,50017,29102,78002,91366,14137"
2019-11,"16090,15491,15775,15971,92102,15057,13337,15961,16108,16179,50017,14179,16161,52396,12209,89449,83520,89413,14419,83145,14308,82702,16400,91366,16393,29102"
2019-10,"16090,15971,15775,15491,92102,13337,88173,15132,14308,50017,52396,16161,82702,14179,89449,14133,16108,89413,14137,29102,24328,13706,90783,89301,60186,15286"
2019-09,"15132,15775,14313,60186,52396,14879,90298,14308,91021,88173,92102,15510,15286,89449,89301,50017,14133,16070,13337,16108,82702,14276,75652,13621,78002,13563"
2019-08,"15396,15177,14313,60186,14444,14308,15378,15775,91021,52396,15510,78002,15286,14276,89449,15533,15664,16108,90298,75652,50017,89301,16099,15493,84275,75714"
2019-07,"15396,15172,15177,15417,60186,92686,15375,15219,14308,90223,15431,14444,52396,14424,16108,14276,85346,90433,85686,15493,81527,91305,15378,15664,16090,15286"
2019-06,"15172,82779,60186,80577,81527,15914,85346,14072,90223,15219,15533,15902,92686,91366,15417,15375,14308,15664,52396,14272,13652,14276,15286,75714,85686,13369"
2019-05,"14615,14936,77699,92427,15914,15904,85293,15294,80577,82779,81527,60186,85346,14308,15902,18075,92520,13652,15664,52396,75714,15533,14379,92091,88284,91366"
2019-04,"14615,14936,15784,92427,15904,85293,15533,14424,81527,60186,15294,85346,75714,14545,15902,92380,14661,13652,83520,13976,15943,12209,79618,14308,92520,12076"
2019-03,"14551,15784,80812,10258,12017,13411,81527,13652,85346,75714,15533,13976,14545,92380,15294,60186,15902,14661,79618,15854,14424,14668,15943,14690,12076"
2019-02,"10258,80812,91627,82848,14551,12017,13976,75714,14668,15533,14424,15294,14536,88284,91076,81527,15902,15664,15854,91560,14545,13411,79618,12209,46834"
2019-01,"91627,82848,13883,15416,15533,14545,15015,75714,14668,90783,81527,14424,15294,14690,91076,15902,92520,15854,91366,13706,88284,15491,85346,14535,89648"
2018-12,"13883,15416,13870,14424,14107,15015,14545,88284,81527,15294,75714,90608,15533,14690,15491,91366,91488,14791,90783,85346,13706,92172,91076,14276"
2018-11,"13652,14107,14419,13870,15542,14545,93012,88284,92518,90783,14424,85346,68145,15015,14791,15796,15491,13976,79618,75714,14535,91560,81527,81784,90608"
2018-10,"13652,14424,88284,15277,13870,68145,14545,80307,15491,85346,90783,79618,92518,13976,15542,15015,75714,80812,93012,14694,14276,93299,90979,86949,82779"
2018-09,"15277,88284,92130,14545,13870,15172,80307,80812,15396,82779,14694,80577,15015,79618,90783,15491,85346,15062,13976,10463,14535,92230,14923,15431,81784"
2018-08,"93338,88284,92130,13870,80307,14936,15533,14923,15172,14694,14545,79618,82779,15277,15062,15396,15015,49488,15542,10463,92518,14580,85346,92426,14690"
2018-07,"15375,93338,88284,12579,79618,13870,80307,14694,15015,49488,14545,15172,86812,82779,15062,14580,92230,14923,85346,13976,92426,81784,92521,15277"
2018-06,"15375,15219,88284,80307,14694,15172,79618,13870,15062,12579,86812,90829,14580,15015,49488,14668,14313,85346,13976,92521,92426,88511,92172,14790"
2018-05,"80307,88284,15219,79618,14452,14694,15268,14936,14580,14313,15172,90829,92426,14591,91135,14668,49488,13976,79089,13870,12577,85346,14935,81784"
2018-04,"80307,14580,88284,14936,15172,14452,79618,14720,15062,14694,14823,14313,13870,15268,13976,90298,14591,90829,14935,12577,91135,79089,81784,14790"
2018-03,"14936,14720,79089,80307,14452,14580,93237,10258,79903,14536,15062,88284,13870,79618,14694,13976,12592,90829,12577,14823,14313,13323,15089,92426"
2018-02,"15172,13652,14936,14051,79089,14790,14536,88284,79618,13870,14711,14580,80307,79903,10258,90829,14610,93237,14823,14694,12577,82779,15089,13844"
2018-01,"13883,14452,14790,13652,14936,79089,88284,14051,13870,14580,80307,15062,15089,14711,13976,14694,90829,14276,14935,92521,81784,10258,15015,14823"
2017-12,"14936,13652,13883,15062,79089,80307,14790,92601,14296,14813,10258,91135,88284,13976,14694,92521,13870,90829,12500,13323,14711,92426,81784"
2017-11,"14296,14813,13315,14325,14936,13883,92601,79089,91135,13323,14790,80307,13976,13279,92426,14444,90829,88284,14694,81784,92521,14711,49138"
2017-10,"14296,14813,14936,13315,13323,14325,13918,91135,14826,14790,13883,79089,14694,80307,90829,92426,13279,13976,12350,13812,81784,88284,79903"
2017-09,"50606,13918,13315,91135,13323,14826,14619,14790,92426,79089,13883,14615,14879,90829,80069,82526,90533,88284,14452,14797,79903,13812,12577"
2017-08,"50606,14791,13315,91135,13918,92426,14619,14790,79089,14591,90829,14797,82526,81784,14615,80069,91076,13959,12577,13812,14452,90533"
2017-07,"91135,44813,13918,14591,13315,14619,92426,80307,14615,81784,80069,92601,79089,14452,13812,90829,91076,90533,92621,90285,13883,13959"
2017-06,"13116,13918,80307,91135,88208,13315,90285,90829,44813,92621,92426,91076,80069,14497,13279,90533,13455,92601,81784,91305,79089,13812"
2017-05,"13116,13918,91135,80307,88208,13315,78841,92621,92426,90829,13455,91076,76461,14497,90533,12577,88462,81784,14452,79089,91082,92601"
2017-04,"14107,13918,13315,91135,92426,13959,13202,80307,14497,13652,90829,14452,13324,12411,92621,76461,80069,90533,92679,12577,89935,87337"
2017-03,"13751,14107,13918,50606,13116,93338,13324,89029,13315,14325,13202,80307,92426,80069,13652,91135,13959,10258,14296,90285,91184,12411"
2017-02,"13116,13751,13279,89029,50606,13324,92426,13328,92252,14325,13202,93338,13918,80069,86080,13315,80307,13939,13959,92679,91082,76461"
2017-01,"13279,13116,50606,93338,92621,92426,14325,91082,92252,13202,13328,90533,13918,91135,78841,13959,91233,90829,76461,80069,81010,13315"
2016-12,"13116,50606,93338,92594,92621,92426,90533,91135,91082,89973,13918,90829,13328,10258,13959,13202,18148,91076,79444,86474,13939,88284"
2016-11,"13844,50606,93338,92621,13328,92426,90533,91135,10333,91082,13959,90829,45225,76461,13202,89973,91233,13918,91076,14051,13323"
2016-10,"93338,50606,13844,91283,13328,92621,10258,92426,91082,90533,13202,91135,14051,14056,90829,10333,45225,91305,91233,13757,13959"
2016-09,"13116,13693,11644,13328,93338,14051,84566,50606,91283,45225,13202,92426,92621,91305,13828,91135,91082,90533,90829,90907,85539"
2016-08,"91832,13116,11644,13328,13693,14051,50606,93338,34666,92426,13202,84566,91082,45225,92621,91305,90829,13757,76461,90533,91135"
2016-07,"79444,91305,92621,91832,93338,50606,92426,13202,91082,79903,91076,91135,76461,85254,45225,90533,92470,13559,13757,12500,90695"
2016-06,"79444,92621,12350,13116,91305,90098,93338,92426,91082,45225,91021,91076,91135,76461,91095,89889,13757,85254,50606,13559,90533"
2016-05,"13116,92621,45225,91021,92426,90098,12350,93338,91135,91111,85254,50606,78841,27422,89889,89935,12488,85567,83883,87198,91095"
2016-04,"18148,13116,13328,92621,91135,12397,93338,91283,92426,45225,91305,92470,92213,85567,89611,85254,27422,50606,13202,91111"
2016-03,"18148,91135,89547,93338,27422,45225,89898,13116,12049,85254,92621,85567,92793,50606,13328,92213,55212,24441,91321,13202"
2016-02,"27422,89547,91135,45225,93338,89898,82156,85254,91321,92793,24441,12049,92131,55212,90533,13559,50606,83445,78664,83883"
2016-01,"27422,89547,91135,24441,85254,91321,83445,89630,92793,92345,82156,85567,12049,45225,55212,93338,12447,91095,11644,92621"
2015-12,"88240,89547,91135,27422,12017,91283,24441,92345,85254,11644,12447,89630,79122,92793,12049,82526,93338,91321,55212,92621"
2015-11,"91305,88240,27422,91135,24441,89630,11644,89547,89244,90735,12447,85254,92793,93338,91321,45225,12049,71298,79122,13116"
2015-10,"91305,27422,89630,12049,89244,24441,91135,85567,12447,91095,83445,89547,85602,11644,71298,85254,14593,91689,89692,79122"
