,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,11.8,11.08,1.065,0.838
TB_BT_5%,7.61,5.94,1.281,0.872
TB_BT_10%,5.97,4.81,1.242,0.82
BuyT_BuyB_1%,5.77,13.37,0.432,0.599
BuyT_BuyB_5%,3.33,8.92,0.374,0.601
BuyT_BuyB_10%,2.53,7.63,0.331,0.601
BuyT_SellB_1%,-7.11,12.71,-0.559,0.279
BuyT_SellB_5%,-3.92,8.68,-0.452,0.333
BuyT_SellB_10%,-2.96,7.47,-0.396,0.358
SellB_SellT_1%,6.03,9.99,0.603,0.619
SellB_SellT_5%,4.28,7.89,0.543,0.568
SellB_SellT_10%,3.45,7.26,0.475,0.561
BuyT_1%,-2.47,8.28,-0.299,0.309
BuyT_5%,-1.2,6.54,-0.184,0.338
BuyT_10%,-0.82,5.9,-0.139,0.365
BuyB_1%,2.22,16.4,0.135,0.491
BuyB_5%,0.26,11.27,0.023,0.432
BuyB_10%,-0.1,9.68,-0.011,0.417
SellT_1%,2.47,8.28,0.299,0.518
SellT_5%,1.2,6.54,0.184,0.441
SellT_10%,0.82,5.9,0.139,0.428
SellB_1%,-2.22,16.4,-0.135,0.453
SellB_5%,-0.26,11.27,-0.023,0.464
SellB_10%,0.1,9.68,0.011,0.468
BuyTSellB_1%,-4.69,15.5,-0.303,0.39
BuyTSellB_5%,-1.46,9.55,-0.153,0.423
BuyTSellB_10%,-0.71,7.64,-0.093,0.428
