,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,5.58,12.56,0.444,0.653
TB_BT_5%,5.41,6.74,0.803,0.727
TB_BT_10%,5.0,5.21,0.959,0.739
BuyT_BuyB_1%,2.61,12.35,0.211,0.484
BuyT_BuyB_5%,2.12,8.78,0.241,0.511
BuyT_BuyB_10%,1.99,7.57,0.263,0.55
BuyT_SellB_1%,-4.71,11.71,-0.403,0.324
BuyT_SellB_5%,-2.81,8.59,-0.327,0.351
BuyT_SellB_10%,-2.18,7.52,-0.29,0.39
SellB_SellT_1%,2.98,11.21,0.266,0.541
SellB_SellT_5%,3.29,8.21,0.401,0.505
SellB_SellT_10%,3.01,7.34,0.41,0.514
BuyT_1%,-1.72,8.07,-0.214,0.342
BuyT_5%,-0.79,6.53,-0.12,0.358
BuyT_10%,-0.48,5.89,-0.081,0.399
BuyB_1%,1.35,14.96,0.09,0.468
BuyB_5%,-0.39,10.79,-0.036,0.403
BuyB_10%,-0.55,9.44,-0.058,0.378
SellT_1%,1.72,8.07,0.214,0.491
SellT_5%,0.79,6.53,0.12,0.43
SellT_10%,0.48,5.89,0.081,0.408
SellB_1%,-1.35,14.96,-0.09,0.471
SellB_5%,0.39,10.79,0.036,0.457
SellB_10%,0.55,9.44,0.058,0.466
BuyTSellB_1%,-3.08,13.4,-0.23,0.41
BuyTSellB_5%,-0.4,8.63,-0.046,0.482
BuyTSellB_10%,0.07,7.23,0.01,0.484
