date,Top_stocks
2024-11,"91734,90999,87471,22323,14708,29102,83520,15058,17854,82848,92518,14619,93338,88462,87364,16673,12644,12060,92601,45225,92380,86536,14877,14060,17141,14468,10258,90288,15793,75573,16611,14535,12527,79499,13337,81084,12209,93337,15294,14813,54704,14179,13124,14056,86098,16108,86233,18224,85768,92594,90371,15943,15303,89134,17987,91305,15542,18824,13796,76927,93263,18466,16681,14711,83883,13455,16675,16255,83976,90720,15351,92089,17372,65285,91560,16776,17354,14432,17039,88810,89031,50876,92621,85059,85272,50017,80050,14497,15862,88427,17444,15015,15846,63546,90483,85792,86115,89349,19001,18098,91437,81893,16684,65270,16182,16765,52337,92294,85419,16318,16594,90377,12076,11533,77570,91379,88181,90455,14546,90735,10779,85663,42358,92686,16277,13323,92619,14102,63715,92230,18726,88988,18656,70704,49429,88417,14158,18846,89540,83188,86242,15651,15429,82747,78170,81774,93272,91076,16749,15433,90476,15440,85293,15286,82694,89506,13326,61241,90285,91611,50286,90101,18909,17813,11995,76392,14953,92213,14715,13976,74740,86080,15089,10253,46886,17877,16260,90126,15664,76672,16928,16699,50606,16533,18898,16680,63125,12008,79322,92493,18217,10028,13700,14759,89301,93427,91606,14419,14076,84262,92986,11403,91090,11499,15056,68145,17801,16104,48072,15795,12082,14937,16021,14591,15287,18312,87006,14532,18856,91928,13766,92221,88351,13563,81761,15397,18096,16179,18835,17869,17341,70228,79909,89547,17133,16005,86799,93067,76946,85427,16524,11762,80306,79338,53110,14479,90850,85992,77595,87589,90436,11691,15831,77357,29612,88612,14702,78077,81061,15452,88240,93356,89731,56223,82526,13763,54148,24643,77661,13559,83143,13447,91575,76934,91453,16532,13743,17957,37381,17157,16473,17332,85972,88182,13244,18013,17817,15533,90542,80924,76282,13108,91095,81220,59627,78629,55212,17799,91733,17949,41355,80969,76614,14970,18911,82670,14716,24328,92432,17358,12380,13508,90496,18317,76135,14663,85442,52695,16393,38850,92130,86876,16263,78418,13366,84042,15796,91321,17972,16592,15534,79698,46463,16653,93274,20618,79094,82800,91612,90672,15371,90926,84419,16062,43123,12078,81472,92679,83756,90125,90178,15902,10547,92426,80415,52708,10104,90427,90880,89456,91463,17864,16692,19002,76644,12431,80286,14661,84827,79198,12622,82779,14151,16076,32942,77175,84387,48486,79442,10107,27633,13407,87055,41241,18259,92782,18480,88853,88360,27334,14313,92102,89781,18575,86165,80812,17959,32651,78841"
2024-10,"91734,90999,22323,87471,92518,29102,17854,15058,83520,88462,87364,92380,18054,82848,14619,93338,92601,14708,12060,10258,12644,75573,16611,16673,45225,13124,14535,14877,79499,92130,14060,15287,90288,16681,86098,81084,65285,13337,93337,15294,15793,93263,86233,14711,54704,92594,16675,90371,15542,18824,86536,83883,14468,14432,17141,88427,16255,14813,83976,15303,89134,91560,76927,85768,14179,80050,12209,14497,50876,15943,16318,18224,85272,89349,90720,15351,92688,91305,17987,85059,16108,50017,15015,92621,52337,90483,17372,92089,16765,85792,13796,88810,86115,88181,15664,65270,10779,17039,90377,17354,79686,89031,88417,82747,81893,85419,18098,17444,91379,17813,14076,16684,90455,90735,15286,63546,85663,92619,50606,70704,93272,89540,18466,14546,11533,16928,74740,15971,16182,13323,16277,77570,79338,15433,14102,92294,91090,13108,46886,49429,61241,13326,12076,90126,90285,14158,91076,90542,16104,15651,18312,14759,14715,42358,76946,18726,78170,93427,16749,81774,76672,86080,14591,82694,87006,16699,14937,86242,15089,15452,50286,15440,18909,11995,63125,15831,18656,88351,15795,83188,18846,63715,76614,15429,93356,17157,89301,12082,17801,79909,17341,92213,16260,92986,76934,88612,82670,13976,15489,13766,11499,90436,81061,10028,85427,55212,15397,18217,11403,79322,48072,88182,59627,85972,89506,84262,14702,56223,91611,15862,81220,88240,16680,15056,14479,16179,53110,37381,14953,14419,91606,86799,89731,91733,90476,77357,13743,14642,16776,92102,92221,16005,24643,91928,16594,90850,85442,11762,81761,11691,16533,18856,17949,78077,12527,88988,81472,86047,29612,78629,15534,54148,84042,77661,83756,16263,48486,17957,17332,14663,17959,89547,86444,76282,70228,83143,77595,18835,91463,86876,92230,93083,12008,47571,18013,79698,90926,13244,18911,16473,84511,84827,15796,93340,12380,32651,13447,18898,15371,10253,93237,13763,41355,52695,14970,12622,76644,84419,91453,85992,14716,90178,16592,16070,52708,15533,14532,16692,92782,90427,13559,89973,78841,80969,18480,78418,92432,89781,76392,46463,43123,16021,24328,10547,80812,91575,17817,16653,90029,93067,81584,92493,16532,18776,90496,90298,80329,38850,87055,17864,79198,30680,16119,79442,90880,79094,88360,79878,89456,32942,15902,88807,81116,68145,80306,15729,92426,16076,91612,61496,17782,23660,10107,82702,34817,17972,41241,82800,18317,90986,80286,13748,89857,91321,17799,91095,18259,12431,76605,13407,76744,92679,12872,27334,81540"
2024-09,"90999,29102,92518,91734,87471,22323,17854,75573,14497,83520,87364,15058,18054,65285,92601,93338,12644,12060,16611,88462,14619,10258,16673,13124,81084,92380,79499,14708,85272,82848,86233,14877,13337,14535,91560,14813,88427,54704,15287,93263,86211,18824,15542,90288,90371,45225,86098,16318,89134,76927,14133,18224,93337,15793,14711,83976,14468,17444,14432,16108,14179,92621,50017,14060,89349,90720,85059,83883,16675,92594,88417,15303,85768,86115,15971,92089,85792,15286,91305,80050,17987,18312,16255,92102,15351,88181,15943,90483,50876,90377,85419,15015,15294,52337,12076,93272,49429,90735,86242,91379,85663,17354,86536,90542,92619,63546,89540,16277,18656,92294,50606,88810,79686,18098,14546,16765,17141,16179,91090,17039,18466,65270,79338,90455,89301,50286,14076,14759,17813,46886,14102,92688,92213,16684,13108,48072,90285,86080,83188,15397,81893,13326,77570,16749,16104,63715,16070,89031,17157,76946,81774,86444,84262,17372,92782,85427,89506,78170,18013,13796,15429,15651,14479,74740,16260,14419,80375,15795,81220,93083,16119,70704,16928,15089,79909,61241,79322,11533,13766,85972,81116,81061,88351,14702,88182,16182,15796,48486,93427,88988,91928,76672,14684,82694,14591,78077,16532,93356,77595,15862,12209,16533,81472,90496,11499,90126,15902,76934,46463,12008,63125,84827,29612,56223,12082,89731,84042,10547,90850,59627,14937,76282,13743,53110,91453,78841,88612,15533,70228,77357,17972,14642,13244,16699,17801,79094,16594,11403,54148,14953,80969,85442,55212,18856,86876,13323,10028,30680,89456,87006,16120,11762,91575,16524,79213,79698,37381,11691,86047,15440,16680,76614,17373,14716,76644,91163,24643,15729,14879,82747,77661,90097,10253,12872,15433,52695,17957,18835,61496,91463,16005,93340,15833,16692,13559,93067,91611,14092,52708,91733,14855,92854,47571,15831,89547,43123,11995,15452,14444,24328,90427,83756,41355,14715,79878,82800,91076,47706,18217,17864,17959,90436,80329,90880,15371,34817,86799,16062,18647,16653,10779,80812,89973,17332,79198,16076,13700,16454,14661,91531,32651,80415,12527,60186,13748,90353,83143,91612,18846,16592,14663,16021,82670,87656,17877,42358,90476,77175,14686,89753,12380,80864,13447,14336,15534,81584,75342,13116,85992,84387,91832,90125,70092,84511,14300,79442,18259,10107,15084,14308,17949,12622,32942,90926,16776,17817,16437,46068,20618,89044,66376,80575,89618,78629,91095,12400,16400,13976,90178,15782"
2024-08,"91734,92518,90999,87471,18054,14497,90298,22323,16680,29102,65285,92601,83520,14313,15510,87364,75573,12644,15058,17854,10258,92380,16611,12060,14619,16108,81084,14535,13124,86233,16673,88427,16318,15542,93338,79499,93263,91560,15793,89134,86211,90288,86098,83883,89349,90483,16773,14813,76927,13700,83976,88462,18312,14879,88417,15132,85272,17987,15286,50876,45225,93337,89029,14432,86115,88181,90720,14711,18224,14133,85768,16255,86536,15287,91021,54704,92688,85059,14179,92594,90377,87583,15351,15303,91305,16070,85792,14708,13337,14877,90735,91090,92621,90542,89506,79686,91379,89301,92089,92294,80050,49429,46886,17972,92619,90371,50017,15943,17141,18466,89540,13326,65270,52337,93272,15015,81893,10028,90455,16776,93002,14546,18856,15971,83188,61241,14076,70704,77570,17444,16260,16675,63546,85419,79338,50286,85663,48486,76946,82848,93083,60186,16119,14102,12076,18656,14759,13108,16179,16749,15796,14702,15397,17039,84827,17813,90285,81472,17157,14642,15533,17877,93427,18824,65700,77357,90126,15642,15440,13766,76934,81774,90496,14419,16277,14545,78170,86047,16182,37381,82694,18726,92102,11533,89973,17372,63125,15729,83011,81061,89031,74740,11403,92213,50606,14953,84262,85442,55212,90029,91928,15089,87006,88612,76672,85972,86242,15534,81116,46463,18835,15294,63715,10253,14479,16928,16765,11762,92557,14060,15651,92782,16062,12209,17864,15902,11995,79322,93340,89731,89456,14663,91453,14715,89753,88810,81220,78841,16076,77595,80375,15862,15429,13323,85427,88988,83756,17801,79094,90850,91611,54148,53110,16454,79442,79909,91076,76614,16684,18306,13244,90097,12400,14336,91733,13976,14970,83303,12082,82747,10779,10107,76282,18217,92475,13743,84042,16099,16802,79698,16400,91832,70228,11691,29612,88182,81584,16104,13116,15831,52708,56223,12527,16263,78077,30680,14937,90178,17797,11499,86876,15795,88439,90427,91606,93299,24643,52695,15833,59627,92426,15056,87055,90436,12872,17373,14690,14092,77661,91095,16699,12008,88351,90476,83143,88511,18013,89547,82800,75854,91531,12380,63263,14716,86799,91575,30796,79864,16290,82779,90880,15371,53613,86444,80969,13652,10547,34817,17957,85992,14684,18098,41355,90125,14308,92679,15067,80864,17979,66376,90098,13447,18563,46068,84072,12078,32942,76744,27334,15452,79903,79103,90926,79878,16692,89290,80575,81527,89044,90986,12391,77178,13748,16021,78629,13366,14406"
2024-07,"14444,91734,92518,90999,87471,14497,91283,90298,83520,29102,14313,87364,18054,92601,12644,92380,16108,75573,65285,88462,93263,16611,13124,92252,15542,14535,12060,86233,15058,14619,79499,17854,16318,92594,93338,10258,88427,91560,83883,16673,83976,86211,15793,81084,89134,14133,92468,18312,17987,90720,89349,90288,76927,91021,93337,15132,86115,88181,85768,92621,91090,15286,15303,88417,50876,17972,89029,85792,49429,18466,54704,13323,85272,70704,15015,14813,14711,13326,86580,86536,89540,92089,45225,52337,91379,90542,91305,14179,86098,46886,85059,89506,16680,15533,14877,80050,90377,92688,79686,15287,12076,18224,16260,16119,92619,14708,16182,86812,50286,15971,63546,17444,90483,14642,15351,88511,16773,61241,85419,60186,93272,90455,13337,16070,16802,14759,50017,82848,87583,14076,92294,77570,90496,14432,83188,16005,81893,75854,16179,90735,15397,85663,16675,76946,48486,65270,16749,15796,90098,13766,16765,90371,14546,93427,79338,14702,74740,76934,63715,15378,16255,15943,81472,93002,89973,18726,85972,84827,17813,91928,16277,81774,83011,63125,16776,84262,13108,82694,50606,89031,79909,86047,77357,89456,90126,13743,91082,65700,88988,16076,91068,76672,81061,89301,55212,12209,91606,14715,14102,92782,91611,14419,90170,13918,11533,17157,93083,90285,76282,91453,11403,80812,78170,92467,11762,46463,16928,86242,15729,17373,17039,15440,79442,91076,17801,81584,15534,15089,85442,88612,17141,78841,80375,16099,89731,85427,79094,82747,77595,15651,54148,10253,83303,18656,92426,92679,16062,10028,88182,86799,14970,14479,91733,14545,86876,18013,18563,87006,13116,12400,15862,56223,92557,89753,80329,86444,47706,52695,75342,77661,15396,16104,15795,16454,88439,22323,90850,12527,81220,14953,17864,11154,90097,79903,81116,70228,52708,11691,88240,24643,11995,32651,53613,13748,53110,80969,91095,90427,89290,84042,17877,18306,13976,13244,14663,80864,14716,85992,91575,12872,90926,30680,78077,79878,93340,29612,76614,41355,12391,91531,92213,16524,10107,16290,10779,17797,15961,87055,34817,14879,17372,12008,82800,79322,12380,12082,18098,17332,90880,90029,80193,32942,27334,14684,14060,89857,92536,51369,13559,30796,14532,66376,14543,15429,10547,88360,15067,46068,92854,17957,23660,79864,15831,14855,88391,81784,90986,92221,91503,14308,92470,16664,12084,89327,13366,93299,89648,84072,91152,88620,92111,13763,13862,15508,81527,14092"
2024-06,"91734,92518,91305,90999,29102,87471,75573,83520,91283,14497,90298,87364,12644,14313,92601,88462,13124,93263,12060,14619,92686,16611,16318,65285,15542,15058,83883,86233,18054,92252,14535,90720,89698,15219,93338,10258,90542,16108,88511,93337,15303,88427,89134,12209,92380,17987,60186,16524,92468,76927,70704,16673,89349,86211,15533,49429,89029,13202,85768,90288,85419,86536,16119,15286,85792,45225,15172,54704,13326,16260,13323,91379,15793,15015,83976,88417,91021,86115,15132,85272,13976,16773,50876,89506,88181,46886,85059,90377,17972,91090,16182,86580,92621,92688,16473,91560,92089,18224,81084,16675,85663,82848,90371,86812,10028,13766,90126,79499,14813,18466,14642,89540,61241,16179,90455,65270,16070,76934,92897,52337,14708,80050,81893,14432,88988,16076,14759,77570,90496,90483,79686,75854,18312,16005,15287,17373,17854,14419,12076,14179,84262,93002,14076,92782,81774,80375,14702,48486,15397,16277,15971,16749,14877,92294,86047,15943,50286,83011,13337,16928,15440,84827,86444,91068,79094,17444,87583,16680,18306,89031,79338,81472,50017,93272,14479,15351,77357,46463,16776,83188,89973,84072,74740,82694,77595,92619,81061,14133,11403,76946,50606,91606,15796,79322,17799,11762,79909,14546,17979,91575,79442,16099,78170,63715,86098,89456,55212,76282,14953,85427,91082,93427,15534,30680,78841,15089,76672,17801,12872,88182,14663,88612,17157,90735,85972,88439,16255,91928,89648,11533,63125,65700,13244,14711,15651,16104,14855,22323,91076,13116,13918,17877,15378,30796,92557,32651,18013,80812,16536,92426,81584,54148,12078,85442,13743,84042,41355,10779,89731,15862,81220,90285,92679,52695,16765,34817,15833,14435,79878,14970,91531,53110,53613,82800,90850,16290,70228,18656,80864,47706,91453,89290,86242,18563,11154,29612,78077,12400,77661,85627,90098,75342,14102,93083,90097,13108,86876,79864,32942,16062,15831,15371,56223,38850,80329,91348,82307,14715,18217,89857,14532,92470,15729,14686,17039,11691,10107,85992,63546,90427,82518,92213,62498,16454,16664,89753,83244,17332,84566,13750,76644,80193,86080,81116,91095,81540,52708,24643,86799,91611,16699,13763,14545,87055,12380,80969,13748,17864,90880,14716,23660,88360,93237,76614,15597,84511,12569,88620,91579,80415,27334,15795,12084,13687,91975,15976,14684,81678,77191,92467,76605,15961,15294,80575,90353,66376,17381,89327,91152,15433,28484,12082"
2024-05,"91560,92518,91734,92426,87471,91305,90999,14497,29102,83520,75573,87364,12644,15058,14313,90298,93263,15219,14535,88462,83883,13124,12060,15542,16318,90720,92601,92686,14619,86233,80577,90542,13323,10258,86211,89698,14060,15303,10028,65285,93337,15015,16104,89506,82779,15132,88427,12209,81084,76927,60186,84419,17987,90126,16673,89349,86536,18054,85272,16119,91082,14813,16773,89134,15793,16260,92091,70704,89029,85768,80050,49429,13326,45225,85419,92089,50876,61241,54704,85792,88181,86115,15397,93338,14759,90377,89540,75854,91021,81893,14708,79686,18224,85059,86098,88511,79499,16611,92688,91379,92621,83011,85526,13202,13766,16005,16076,15287,46886,16524,16928,92897,65270,84827,14479,90371,88988,14432,88417,17972,86812,91090,90288,85663,15172,90496,86580,16070,89031,12527,16749,14076,92782,17157,15440,63715,93272,79909,76946,52337,14642,15533,92294,15534,16680,50286,77357,89973,48486,14702,84262,77595,81472,15089,17854,14133,76934,14877,81061,15831,11403,11533,13918,89456,79094,79338,63125,16182,16099,80375,91283,90455,12076,14715,91076,84072,82848,17801,74740,30796,91068,14272,18563,83976,93002,82694,17799,15351,14663,18312,50606,81584,16277,38850,16675,76672,90483,14179,15833,15854,13750,76282,15796,14435,83188,13976,15651,18466,15294,14855,16776,90097,54148,81774,15971,50017,14716,13108,11762,14686,46463,85427,88612,77661,85992,89731,86444,15508,65700,18306,91928,79442,80864,91453,52695,10779,92557,12400,90926,86047,84042,91575,15645,34817,15782,88439,90986,17444,75342,30680,90735,14970,70228,13244,89648,55212,56223,78077,13337,79878,15976,90850,12872,52708,14953,16255,29612,81220,13687,16290,91531,32942,81540,91348,15396,17270,80575,10107,17373,13862,79322,89792,62498,88182,18013,24643,13763,89781,92467,23660,13116,15378,63546,78170,93427,92221,85442,77570,16699,41355,76605,84511,11154,92111,78841,14102,93083,12569,79698,86876,80415,18148,92619,90880,16594,16454,87055,79103,17104,11499,14711,13748,81527,89191,18217,47706,90285,89327,81678,53110,16062,14419,22323,12008,91975,90098,81116,86080,85972,91579,90427,13366,77191,13796,11691,12078,88360,14545,13743,17341,12082,85627,91836,16692,13447,76614,53613,17381,16263,11701,15371,91606,93299,82800,16765,92679,27334,80204,15902,18144,43481,15795,91612,92470,91611,91095,70092,10200,66376,14532,89394,90170,13610"
2024-04,"91560,92518,91734,88471,14813,92426,83520,14313,91305,90999,87364,15058,87471,29102,16318,13844,93263,88462,14497,12644,90298,13124,83883,12060,75573,90542,90720,86233,65285,13323,15219,80577,92601,93337,85272,14535,14619,15542,14060,10028,10258,89698,89506,15015,89029,92686,82779,90126,88427,91082,84419,76927,15132,16119,15303,89349,81084,61241,15417,91021,14615,16773,86211,65270,63715,88181,89134,92091,18054,17987,16260,14715,14708,92089,16182,18224,14877,54704,75854,85792,14759,15397,85768,81893,79686,85663,91379,16673,90377,60186,16076,45225,85059,79499,50876,86098,49429,15831,46886,14432,13918,84827,89031,14642,88988,88417,80050,92621,15793,89456,79094,92897,90455,15062,13326,48486,13108,93083,88511,14702,13766,93338,91348,81472,16255,86115,17972,14133,12209,77357,92665,14479,79338,86812,16680,14076,16928,89540,11403,79909,90496,91090,92782,11533,83976,17157,15089,77595,92294,15440,16524,85992,76946,16611,18312,93272,15976,17854,81061,15287,91283,85293,89973,38850,86580,20336,91076,16749,16277,14936,93002,92213,15782,82694,80375,14663,15854,82848,13202,14711,15534,76282,83011,85427,90097,90926,93427,15645,70704,88612,91575,15294,76934,15651,15971,17813,16070,90371,13337,54148,46463,12400,15172,88182,79878,78077,84262,16290,63546,91068,89731,17801,88439,13976,12076,15796,81584,14970,86080,86536,90288,14855,63125,86047,91612,92470,77661,88360,14716,85526,11762,90986,80864,79442,85627,14419,75342,90850,80575,91453,10107,30796,15378,24643,18306,15904,14686,84042,83188,88620,91928,81220,17341,17875,16005,17270,84072,92557,93299,55212,81116,14690,65700,34817,15351,16692,10200,16062,13750,13244,16377,62498,90735,52695,52708,32942,52337,84319,29612,13862,90880,91531,92679,17104,89792,70228,30680,17799,47706,11499,91579,91606,92221,14953,85442,13447,41355,18100,15396,23660,16454,11691,89191,87055,81132,79698,77037,81678,76672,15410,11154,16968,16699,56223,16592,13116,50606,18418,89327,18368,80415,91975,15533,77191,60038,81540,50286,74740,12078,85419,16082,13407,16664,76605,81774,11995,91611,14179,14102,90483,14546,18466,80204,27334,53110,92203,16675,13105,10779,12872,12084,92402,86876,80329,50017,79103,13748,14151,11701,15508,16434,17444,89781,77178,92111,17360,79785,15961,12008,89044,66376,15795,70092,46068,90098,15597,14353,80193,18144,17688,88534,84566,15452"
2024-03,"65285,91560,91734,92518,88471,15058,89029,92426,14813,91453,29102,90999,87471,88462,16318,83520,91305,12644,90298,13844,86233,14313,80577,92380,75573,92601,93263,15784,87364,13124,12060,90720,13323,14535,15831,90126,93237,90542,85272,91348,81084,91082,10028,83883,89698,88511,14497,92686,88427,14619,14060,91895,15219,91021,93337,84419,86098,14877,91379,89349,88620,61241,79499,15417,14708,89506,84827,10258,16119,13918,18224,14642,15397,88417,92294,65270,88181,92089,89134,16182,17157,88988,17987,90377,82779,18054,16290,85792,16524,86812,91076,16673,16260,12209,77357,75854,46886,76927,14759,50876,93083,79686,92665,11403,80050,14615,93338,15793,16928,91606,14432,49429,15089,79909,13766,92621,11533,76946,81472,17341,48486,16749,85663,83976,15782,89031,54704,92897,91283,14076,13326,90455,81893,18312,14479,85768,15796,85992,79094,90371,16277,14663,15132,17270,16076,92782,14702,93002,15172,79702,17972,16070,15440,85427,17104,13108,88612,15534,83188,89456,85059,14855,93272,89973,16773,63125,14936,86580,91068,76282,91090,16968,90986,81061,16611,63546,13202,54148,93299,15287,89540,15854,14716,75342,92221,86115,15651,63715,91928,17801,77661,79878,93427,90483,14970,89731,86047,90496,65700,90097,30796,62498,50286,10107,15542,16592,86211,70704,12076,14686,90926,76934,80375,11995,92091,38850,84072,45225,77595,92213,17799,88360,13337,82848,15351,85627,85293,91575,84042,88439,83011,15378,15976,88182,81220,79442,17444,17875,78077,90850,15645,84319,46463,17813,14715,92402,84262,16454,17854,79698,80864,13447,16684,86876,10200,87055,12400,91612,82694,60186,30680,47706,13105,52708,90640,16263,13862,14690,16680,11691,16005,92557,92111,34817,81584,11762,81774,10779,86080,16062,24643,29612,91531,15410,80575,92203,59627,89191,11154,16692,15533,80415,13244,14092,92470,76605,90880,52695,50606,15904,23660,13976,14133,89327,12912,52337,85442,16082,16675,15303,90288,15971,16699,91975,32942,14815,18148,90735,13116,17797,89648,90098,81540,60038,81116,70228,15776,91611,77178,55212,79338,16765,79103,46068,13748,86242,89444,66376,50017,76672,11701,80204,16664,88534,15416,13366,79785,81132,92679,15961,17332,12872,14151,12366,16776,89781,82518,91579,41355,77191,56223,14546,89044,80193,70092,90170,77037,83509,14179,14353,90943,15294,17373,81678,16377,78975,27334,89290,16434,17864,14435,11499"
2024-02,"65285,91560,10258,14813,92518,91734,88471,92426,29102,87471,91453,90999,15058,15904,14313,85272,86233,88462,75573,83520,13323,12644,91305,92380,16318,90298,87364,13844,92601,14551,93263,90720,80577,12060,13124,90126,91348,81084,10028,15784,14060,88511,90542,89698,15219,88427,92686,15831,91082,83883,14497,14619,91379,75854,14535,92213,16376,12017,14877,14642,15172,93337,92621,14708,84827,16680,65270,89506,15417,16290,15397,89349,16119,14615,91606,76927,79280,89134,15793,91895,13918,88417,92089,85792,49429,61241,90170,79499,18312,14432,84419,16182,91283,14715,79213,79702,90483,11403,82215,86098,88181,91076,77357,14759,93338,14435,46886,15089,88620,16928,18224,91021,80050,79686,81893,79909,11533,13326,90986,16773,89031,15776,17972,90377,85427,17270,90455,86211,14855,92294,17157,92897,76946,12209,17987,50876,90371,14076,14663,63125,93083,79094,16260,88988,92782,85768,13766,92665,15533,90640,48486,15534,17341,85663,45225,13337,16524,88612,86812,16968,85992,12076,16076,14479,15782,16611,81472,91068,92221,63546,89456,11995,85059,17104,16277,88182,82670,89540,93002,86047,14702,16673,38850,15796,54704,79878,83976,16749,16181,85293,90288,14452,91575,15651,93272,15542,70704,77661,15440,88534,90496,14716,76282,75342,15976,81220,46463,76934,17799,17875,54148,83011,84319,15429,85627,14970,84072,86080,89973,81774,17801,88439,81061,10107,16699,83188,30796,90926,89731,47706,92557,86536,90735,15854,80375,92203,89648,91928,16255,86580,89191,52337,84042,14133,16684,80864,13108,91611,55212,90098,90850,50606,93427,18148,65700,92402,79698,86876,17984,92091,82694,78077,87337,13976,79338,14953,14815,11691,88360,16664,91090,62498,93299,79442,12400,84262,80575,91579,23660,13447,17444,77595,81584,92111,89327,10257,63715,80329,81132,81116,17332,11762,10200,15351,52708,16692,16632,88518,77699,16070,13706,87055,89044,76605,16675,16082,18145,11701,77191,83885,13763,91975,10779,46068,51369,32942,15645,13743,90880,12500,17957,16765,77037,82518,13116,14690,91612,86115,11499,11154,29612,53110,91184,77178,70092,13244,83509,66376,56223,90125,27334,91826,78975,86242,14686,90285,18368,50286,90097,24643,92470,30680,89290,80415,13366,15862,13105,34817,59627,16592,17039,91531,80204,13862,15378,16263,18144,52695,41355,89444,12452,10606,70228,18054,89753,55597,16776,85442,50017"
